,Unnamed: 0,id,playtime_forever,price,total_positive_reviews,total_negative_reviews,pur_rel_itv,genres_vec
1,1,1,-0.864799714742056,-100.0,0.2412553703168971,-100.0,0.7355120211929866,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
3,3,3,0.09028391677607002,0.5546321701585212,0.8503874953433699,0.5748782102721866,0.931463543706072,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
4,4,4,0.6560604160557847,0.5109912984857242,0.6991959988293244,0.4820438186931833,0.9105441248451768,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
5,5,6,0.2031709623353467,0.4936486134689294,0.8149082835250852,0.5346082238234376,0.904487395509018,"[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
6,6,7,-0.4007060971156947,-100.0,0.26903293977452125,0.08460298279254741,0.7720727762785178,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
7,7,8,-0.864799714742056,0.5000001883887292,0.5798729474817101,0.28212704891796303,0.8908162195797618,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
8,8,9,-0.864799714742056,0.5475317134971038,0.29624318255998416,0.18465940586632013,0.5004956870281683,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
12,12,13,0.6386542087165433,0.4884032017853019,0.7060047242802253,0.5363007964317249,0.4376486646159397,"[1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
13,13,14,-0.0964756464840916,0.5213511545954019,0.6676973213886259,0.4860600932265789,0.7789526708134878,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
14,14,15,-0.864799714742056,-100.0,0.3937954936167208,0.26192265144209603,0.940670024753234,"[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
