id,playtime_forever,price,total_positive_reviews,total_negative_reviews,pur_rel_itv,Action,Adventure,Animation,AudioProduction,Casual,EarlyAccess,FreetoPlay,Gore,Illustration,Indie,Design,MassivelyMultiplayer,Modeling,Nudity,RPG,Racing,Violent,SexualContent,Simulation,Sports,Strategy,Utilities
0,-0.6193439516334024,0.08266288232133329,-0.8285480594042622,-0.6295580610201017,0.7089700531477419,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,-0.6007744657903477,-3.045523241806787,-2.078108322165566,-2.946961353916359,-0.23208868729811657,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
2,-0.6193439516334024,0.1972748513039353,0.12386133839369678,0.3448620032593666,0.686657514906612,-1,1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,0.42492304345236576,0.45731030404147543,1.508208784385867,0.8349025235242863,0.9926297197354895,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
4,2.91932367751818,0.18173600443819826,0.6132908025845564,0.22491147386940732,0.8618037133645158,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
6,0.824882426319121,0.07223422172047908,1.2981975249907034,0.5702039579974959,0.8239281072013086,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
7,-0.4623314312913835,-3.045523241806787,-1.9194692466823697,-2.244708658067636,-0.003758845514110162,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
8,-0.6007744657903477,0.11233719905513766,-0.09283820665172521,-1.0782921780425054,0.7384394620324196,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
9,-0.6007744657903477,0.41247197666658264,-1.762408883402731,-1.6881865635923543,-1.6928377025797825,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,-0.6193439516334024,0.3143223011725803,0.4285669557506795,0.3723310397444014,1.066234035567784,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,-0.6193439516334024,-0.06654859150647552,-1.2464909601476504,-1.131664469117072,0.534410142888987,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1
12,-0.6193439516334024,-3.045523241806787,-1.3805851346638505,-0.12815203986069562,-0.7974464916258569,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
13,2.8308716290885183,0.039116288024443384,0.6535899795129728,0.5813271443144505,-2.0783639539544363,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
14,-0.06816428635440086,0.24715144596164693,0.4268637281455617,0.2512815735718855,0.03922084885300889,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
15,-0.6007744657903477,-3.045523241806787,-1.1918279488638988,-1.20741249654987,1.0502083594268616,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
16,1.0193054333903784,0.3143223011725803,1.0194005213239141,0.6812817467732816,0.8235433378111107,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1
17,-0.6193439516334024,0.5042795151951692,1.3347830756276324,1.2599573285435337,0.6280255558126161,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1
18,-0.6193439516334024,0.5042795151951692,1.1836950946022986,1.5914111315147157,0.006646165087575224,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
19,-0.6193439516334024,0.07223422172047908,-1.559143845646874,-0.538943532962538,0.5495552705791076,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,-1
20,-0.44616671621687326,0.3143223011725803,-0.3265511010330206,-0.15199494603843444,1.0482163911175044,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
21,0.46128312006228306,0.41247197666658264,0.5903136729943866,0.8446666127686514,0.16348741948483492,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,1,-1,-1
